"ID","ROI1","ROI2","ROI3","ROI4","ROI5"
"OBSERVATION.1",37762,7460,3479,15885,20273
"OBSERVATION.2",28352,5536,4089,23610,16127
"OBSERVATION.3",34081,8739,3835,21550,24385
"OBSERVATION.4",112282,4923,3061,24981,20203
"OBSERVATION.5",37362,7316,4057,14839,17598
"OBSERVATION.6",19009,4983,2514,19794,14569
"OBSERVATION.7",85715,5839,2177,16487,14428
"OBSERVATION.8",11677,5885,2563,8650,13652
"OBSERVATION.9",53011,4084,2747,15948,17034
"OBSERVATION.10",18297,7559,4235,18115,16663
"OBSERVATION.11",38694,8362,4665,14478,23273
"OBSERVATION.12",30384,7616,3041,14646,15574
"OBSERVATION.13",21718,7814,4070,12345,13701
"OBSERVATION.14",55815,4531,1714,16265,20397
"OBSERVATION.15",35912,4990,1350,16605,13718
"OBSERVATION.16",16021,5687,1646,13150,15366
"OBSERVATION.17",69651,5738,5024,22575,17015
"OBSERVATION.18",26704,7261,3956,16025,19716
"OBSERVATION.19",18903,6905,3928,19444,19325
"OBSERVATION.20",54745,4733,2790,15643,15345
"OBSERVATION.21",48242,5706,2009,11627,23172
"OBSERVATION.22",20456,9001,4449,19160,22768
"OBSERVATION.23",36802,8906,5020,20344,20905
"OBSERVATION.24",40672,6250,2760,18741,27290
"OBSERVATION.25",44023,7990,3281,8148,13820
"OBSERVATION.26",37062,4393,1984,14038,17955
"OBSERVATION.27",38014,8598,3928,17875,16611
"OBSERVATION.28",16317,7160,4926,22252,19773
"OBSERVATION.29",17501,4217,3689,19829,14625
"OBSERVATION.30",26042,8278,2992,13493,18195
"OBSERVATION.31",30796,8339,3988,21658,22889
"OBSERVATION.32",60979,7894,3907,12822,18390
"OBSERVATION.33",22830,6806,2146,16736,21074
"OBSERVATION.34",35466,5683,1902,10948,16090
"OBSERVATION.35",27449,4441,2389,13411,23805
"OBSERVATION.36",35444,4071,2442,11898,10606
"OBSERVATION.37",81220,6104,4569,20626,16432
"OBSERVATION.38",38281,6451,4901,19156,22705
"OBSERVATION.39",18188,6264,3382,20139,16328
"OBSERVATION.40",82963,7562,3751,15203,20917
"OBSERVATION.41",38374,8501,2964,22785,27430
"OBSERVATION.42",22554,7463,3264,17453,24749
"OBSERVATION.43",35422,7602,4343,14044,19211
"OBSERVATION.44",31695,8617,4037,15875,20879
"OBSERVATION.45",21569,2943,1498,13580,12349
"OBSERVATION.46",39971,8373,5000,18080,28991
"OBSERVATION.47",13855,6765,3482,16112,14365
"OBSERVATION.48",25295,11041,4807,16182,26312
"OBSERVATION.49",20035,8963,5306,19147,21177
"OBSERVATION.50",20940,7516,4055,22656,21184
"OBSERVATION.51",41967,6953,4769,20857,16926
"OBSERVATION.52",40878,5995,3188,13607,16208
"OBSERVATION.53",15365,5335,2133,14899,11075
"OBSERVATION.54",57471,7525,3245,23237,22951
"OBSERVATION.55",82094,6334,1157,15025,15947
"OBSERVATION.56",31725,7159,5002,23325,25338
"OBSERVATION.57",17685,6085,4621,14645,18568
"OBSERVATION.58",26929,5237,2649,16003,23715
"OBSERVATION.59",18260,6883,2802,18923,17575
"OBSERVATION.60",13443,6982,3445,14919,18344
